Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
23ARS-RTH0004	NA	23ARS-RTH0004_00488	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_00489	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_00491	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_00933	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_01067	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_02003	1	858	+	blaTEM-135	broad-spectrum class A beta-lactamase TEM-135	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_015058868.1	broad-spectrum class A beta-lactamase TEM-135	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_00078	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_00628	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_00629	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_00631	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_00968	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_01049	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_01115	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.22	639	WP_050232631.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-MAR0247	NA	23ARS-MAR0247_01993	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00262	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00263	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00265	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00405	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00564	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_00903	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-VSM0001	NA	23ARS-VSM0001_01975	1	858	+	blaTEM-135	broad-spectrum class A beta-lactamase TEM-135	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_015058868.1	broad-spectrum class A beta-lactamase TEM-135	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_00073	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_00417	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	412	412	100.00	100.00	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_00418	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_00420	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	98.85	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_00932	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_01051	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
22ARS-GMH0107	NA	22ARS-GMH0107_02022	1	858	+	blaTEM-135	broad-spectrum class A beta-lactamase TEM-135	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_015058868.1	broad-spectrum class A beta-lactamase TEM-135	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00074	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.56	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00575	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00576	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00578	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.62	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00819	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_00915	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_01056	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.80	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-MAR0190	NA	23ARS-MAR0190_01958	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_00309	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_00493	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.51	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_00494	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.05	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_00496	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.81	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_01128	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_01952	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-VSM0600	NA	23ARS-VSM0600_02036	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_00032	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_00529	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_00530	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_00532	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.62	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_00916	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_01068	1	1518	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	506	507	100.00	99.61	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_01921	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-VSM0033	NA	23ARS-VSM0033_01990	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00489	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	412	412	100.00	100.00	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00490	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00492	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.23	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00546	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00910	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_00991	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_01095	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-SLH0024	NA	23ARS-SLH0024_02024	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_00296	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_00297	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_00299	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.04	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_00564	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_00996	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_01200	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.80	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-RTH0003	NA	23ARS-RTH0003_02027	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00035	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00297	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00298	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00300	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.04	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00925	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_00991	1	1014	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	338	639	52.90	98.82	338	WP_063856397.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_01953	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
24ARS-CVM0067	NA	24ARS-CVM0067_01987	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
